NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
467	530.621	11.847	76.031	11.751	0.016	0.98	130000.0
468	529.753	11.562	76.171	11.546	0.015	0.98	140000.0
469	542.519	11.885	78.31	11.707	0.016	0.98	90000.0
470	545.821	11.793	76.622	11.767	0.015	0.978	150000.0
471	540.445	11.635	75.143	11.529	0.015	0.979	340000.0
472	518.696	11.265	74.407	11.284	0.015	0.981	80000.0
473	518.626	11.382	75.414	11.547	0.015	0.979	210000.0
474	542.615	11.483	76.442	11.273	0.015	0.981	190000.0
475	523.323	11.418	74.833	11.389	0.015	0.98	80000.0
476	526.69	11.675	74.983	11.55	0.015	0.979	80000.0
477	551.006	12.155	77.809	12.203	0.016	0.977	100000.0
478	524.863	11.683	73.386	11.359	0.016	0.98	110000.0
479	531.478	11.711	75.978	11.631	0.016	0.98	300000.0
480	547.921	11.766	79.784	11.675	0.015	0.98	120000.0
481	533.985	11.841	75.729	11.732	0.016	0.98	200000.0
482	526.948	11.408	73.55	11.284	0.015	0.981	120000.0
483	538.114	12.131	76.328	12.091	0.017	0.977	90000.0
484	545.281	11.956	76.48	11.746	0.016	0.979	90000.0
485	558.056	12.013	77.92	11.845	0.016	0.978	170000.0
486	528.803	11.291	75.016	11.307	0.015	0.98	150000.0
487	525.012	11.61	73.715	11.497	0.016	0.98	220000.0
488	538.799	11.93	76.5	11.614	0.017	0.98	150000.0
489	539.179	11.77	77.022	11.886	0.016	0.979	200000.0
490	551.064	12.004	78.517	12.046	0.016	0.979	80000.0
491	536.852	11.691	76.057	11.615	0.016	0.979	70000.0
492	551.776	11.806	78.624	11.686	0.015	0.98	110000.0
493	537.452	11.636	76.237	11.485	0.016	0.981	70000.0
494	520.235	11.654	73.265	11.489	0.015	0.98	90000.0
495	567.606	12.005	81.942	11.995	0.015	0.979	130000.0
496	557.585	11.889	78.126	11.818	0.015	0.979	110000.0
497	525.148	11.578	73.142	11.478	0.016	0.979	200000.0
498	546.534	11.702	78.17	11.666	0.015	0.98	170000.0
499	544.06	11.941	77.668	11.756	0.016	0.98	110000.0
500	540.723	11.319	74.864	11.196	0.015	0.981	70000.0
