NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
99	1167.777	23.834	189.33	26.312	0.055	0.9	20000.0
100	1158.751	23.465	189.127	26.535	0.055	0.896	30000.0
101	1191.563	24.058	189.842	26.655	0.055	0.895	50000.0
102	1194.849	24.146	189.118	26.35	0.055	0.897	30000.0
103	1157.469	23.578	183.761	25.838	0.053	0.902	30000.0
104	1171.868	23.751	186.787	26.38	0.055	0.898	20000.0
105	1192.155	24.214	189.707	26.297	0.055	0.899	20000.0
106	1192.524	24.119	189.565	26.36	0.055	0.897	20000.0
107	1182.602	24.147	184.558	26.169	0.055	0.896	40000.0
108	1195.63	24.119	192.681	26.519	0.056	0.899	20000.0
109	1200.658	24.383	191.057	26.555	0.055	0.897	30000.0
110	1170.749	23.609	191.544	26.348	0.052	0.901	30000.0
111	1176.497	24.146	188.746	26.75	0.057	0.895	20000.0
112	1153.76	23.646	185.15	26.091	0.054	0.899	20000.0
113	1184.577	23.87	191.164	26.381	0.054	0.899	30000.0
114	1177.119	24.093	188.466	26.387	0.056	0.896	20000.0
115	1172.071	23.866	187.674	26.382	0.054	0.898	20000.0
116	1162.155	23.659	185.492	26.05	0.053	0.9	20000.0
117	1192.531	24.375	191.026	26.616	0.056	0.897	20000.0
118	1163.314	23.55	190.673	26.342	0.053	0.898	20000.0
119	1168.94	23.804	190.653	26.653	0.054	0.896	20000.0
120	1168.016	23.605	190.438	26.452	0.054	0.897	20000.0
121	1176.402	23.79	186.788	26.116	0.054	0.9	40000.0
122	1180.879	24.077	189.607	26.563	0.056	0.898	30000.0
123	1176.715	24.138	189.076	26.61	0.056	0.896	60000.0
124	1178.441	23.762	185.414	26.315	0.054	0.899	20000.0
125	1170.679	23.934	187.302	26.169	0.055	0.9	40000.0
126	1152.898	23.485	185.102	26.152	0.054	0.899	30000.0
127	1164.526	23.582	187.589	26.158	0.054	0.899	20000.0
128	1175.656	24.197	188.021	26.712	0.058	0.894	20000.0
129	1197.351	24.416	193.742	26.657	0.056	0.897	20000.0
130	1179.874	23.912	188.08	26.294	0.055	0.899	20000.0
131	1196.536	24.309	191.455	26.848	0.057	0.894	20000.0
132	1176.606	24.145	189.822	26.72	0.056	0.895	20000.0
133	1179.154	23.532	189.092	26.271	0.053	0.897	20000.0
134	1182.243	23.965	187.011	26.304	0.055	0.897	30000.0
135	1166.585	23.797	188.41	26.317	0.054	0.899	20000.0
136	1190.526	24.004	189.446	26.417	0.054	0.897	20000.0
137	1166.518	24.001	185.524	26.522	0.056	0.896	20000.0
138	1164.781	23.669	186.895	25.913	0.053	0.903	30000.0
139	1194.293	24.283	192.673	26.672	0.056	0.896	40000.0
140	1162.657	23.761	189.464	26.496	0.054	0.897	20000.0
141	1182.265	24.028	187.601	26.233	0.055	0.899	30000.0
142	1154.382	23.333	188.049	26.053	0.053	0.901	20000.0
143	1151.851	23.412	182.885	25.679	0.053	0.904	40000.0
144	1180.727	23.963	186.084	26.195	0.055	0.898	20000.0
145	1175.739	24.122	190.164	26.393	0.056	0.899	40000.0
146	1164.797	23.737	187.404	26.254	0.055	0.898	40000.0
147	1187.176	24.233	188.93	26.39	0.055	0.898	20000.0
148	1202.673	24.193	191.35	26.544	0.054	0.897	20000.0
149	1152.897	23.346	184.72	25.916	0.052	0.9	20000.0
150	1164.021	23.845	187.272	25.978	0.054	0.901	30000.0
151	1167.51	24.127	185.553	26.605	0.057	0.894	20000.0
152	1189.124	24.201	190.069	26.652	0.057	0.897	20000.0
153	1184.936	24.091	192.243	26.619	0.055	0.898	30000.0
154	1140.928	23.296	184.09	26.03	0.053	0.899	40000.0
155	1188.165	24.102	190.657	26.348	0.054	0.898	20000.0
156	1156.095	23.848	184.4	26.179	0.056	0.899	40000.0
157	1177.367	23.995	184.857	26.052	0.054	0.899	20000.0
158	1166.229	24.129	188.411	26.519	0.057	0.896	20000.0
159	1175.239	24.303	189.203	26.601	0.057	0.894	20000.0
160	1165.561	23.854	188.707	26.552	0.055	0.897	40000.0
161	1181.717	23.809	188.342	26.168	0.053	0.899	20000.0
162	1175.643	23.861	187.085	26.139	0.055	0.901	40000.0
163	1162.118	23.877	185.77	26.184	0.055	0.897	30000.0
164	1170.065	23.781	189.796	26.412	0.054	0.898	30000.0
165	1146.184	23.561	184.693	26.345	0.053	0.897	30000.0
166	1142.17	23.366	182.612	25.752	0.054	0.904	20000.0
167	1180.276	23.965	190.493	26.526	0.056	0.895	30000.0
168	1154.696	23.673	184.418	26.349	0.055	0.897	20000.0
169	1162.173	23.704	186.422	26.18	0.054	0.901	20000.0
170	1161.452	23.513	187.011	25.954	0.053	0.903	20000.0
171	1177.776	23.989	189.709	26.329	0.054	0.898	20000.0
172	1161.976	23.57	185.504	26.251	0.053	0.897	20000.0
173	1179.773	23.91	187.633	26.222	0.055	0.899	20000.0
174	1186.097	24.001	186.899	26.302	0.055	0.899	20000.0
175	1171.19	23.849	188.465	26.491	0.055	0.897	20000.0
176	1160.646	23.657	191.171	26.267	0.055	0.899	30000.0
177	1163.035	23.594	187.44	26.089	0.054	0.899	20000.0
178	1166.797	23.917	185.499	26.141	0.055	0.9	20000.0
179	1165.566	23.929	185.665	26.136	0.055	0.899	30000.0
180	1171.468	23.933	185.627	26.406	0.055	0.898	20000.0
181	1174.084	23.946	190.556	26.449	0.055	0.898	20000.0
182	1181.997	23.871	189.116	26.206	0.054	0.899	20000.0
183	1192.972	24.255	185.913	26.32	0.054	0.896	20000.0
184	1155.161	23.386	183.654	25.707	0.053	0.901	40000.0
185	1205.181	24.241	194.999	26.804	0.055	0.895	20000.0
186	1152.942	23.615	186.515	26.418	0.055	0.896	20000.0
187	1176.365	23.74	187.302	26.113	0.054	0.9	20000.0
188	1179.473	23.734	186.851	26.082	0.053	0.899	20000.0
189	1156.075	23.456	186.546	25.992	0.054	0.9	30000.0
190	1176.311	23.86	186.138	26.24	0.054	0.897	30000.0
191	1147.173	23.528	183.861	25.79	0.053	0.902	20000.0
192	1175.176	23.983	187.763	26.214	0.054	0.9	20000.0
193	1164.228	23.721	181.66	25.948	0.054	0.898	20000.0
194	1172.035	23.808	187.958	26.284	0.055	0.898	40000.0
195	1191.264	24.153	190.8	26.944	0.057	0.893	20000.0
196	1189.792	24.175	189.212	26.536	0.055	0.899	20000.0
197	1171.528	23.842	188.338	26.298	0.054	0.9	20000.0
198	1152.599	23.667	184.049	25.777	0.055	0.902	20000.0
199	1183.228	24.371	187.606	26.618	0.056	0.894	30000.0
200	1157.446	23.617	184.677	26.244	0.054	0.897	30000.0
